Pořadové číslo;Politický subjekt;Datum publikování;Datum sběru;Odkaz na zdroj;Typ vizualizace;Manipulace osou;;;Porušení konvence;;Chybějící prvky;;;;Přebývající a zmatečné prvky;;
;;;;;;Podseknutá osa;Dvojitá osa;Převrácená osa;Nevhodné řazení;Nevhodné barvy;Chybějící osa či její popis;Neuvedení zdroje;Chybějící název (téma);Absence legendy;3D efekt;Nevhodná vizualizace;Zmatečná vizualizace
1;ODS;05.02.2023;20.02.2023;https://www.facebook.com/ods.cz/photos/10160632249457700;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
2;ODS;08.12.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160511749742700;Sloupcový;N;N;N;N;N;Y;Y;Y;N;N;N;N
3;ODS;16.11.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160436337522700 ;Sloupcový;N;N;N;N;N;Y;Y;Y;N;N;N;N
4;ODS;13.11.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160428153817700 ;Sloupcový;N;N;N;N;N;Y;Y;Y;N;N;N;N
5;ODS;25.10.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160365979662700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
6;ODS;24.10.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160363476017700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
7;ODS;20.09.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160295023142700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;Y;N
8;ODS;19.09.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160293263027700 ;Jiný;X;X;X;N;N;Y;Y;N;Y;N;Y;Y
9;ODS;16.09.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160283456952700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
10;ODS;14.09.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160279656267700 ;Sloupcový;N;N;N;N;N;Y;Y;N;Y;N;N;N
11;ODS;13.09.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160278949297700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
12;ODS;25.08.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160246230322700 ;Sloupcový;N;Y;N;N;N;N;N;N;Y;N;N;N
13;ODS;17.08.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160233440107700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
14;ODS;22.07.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160196571582700 ;Sloupcový;M;N;N;N;N;Y;Y;N;Y;N;N;Y
15;ODS;08.05.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160069042637700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
16;ODS;25.04.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160045868987700 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;N;N
17;ODS;10.04.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10160020700712700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
18;ODS;13.03.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10159974634142700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
19;ODS;10.03.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10159969405887700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
20;ODS;09.02.2022;20.02.2023;https://www.facebook.com/ods.cz/photos/10159920366162700;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
21;ODS;05.10.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159691869382700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
22;ODS;05.10.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159690443742700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
23;ODS;04.10.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159690078427700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
24;ODS;01.10.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159685139682700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
25;ODS;29.09.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159682519417700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
26;ODS;27.09.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159678771562700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
27;ODS;26.09.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159677179207700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
28;ODS;21.09.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159669196992700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
29;ODS;13.09.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159655278857700 ;Sloupcový;Y;N;N;N;N;Y;N;Y;N;N;N;Y
30;ODS;12.09.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159654252142700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
31;ODS;05.09.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159642190172700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
32;ODS;20.08.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159614220212700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
33;ODS;30.07.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159573819082700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
34;ODS;02.07.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159514284387700 ;Sloupcový;Y;N;N;N;N;Y;N;Y;N;N;N;N
35;ODS;27.06.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159504073537700 ;Sloupcový;Y;N;N;N;N;Y;N;Y;N;N;N;N
36;ODS;25.06.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159500016462700 ;Sloupcový;Y;N;N;N;N;Y;N;N;N;N;Y;N
37;ODS;21.06.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159490494377700 ;Sloupcový;Y;N;N;N;N;Y;Y;N;N;N;N;N
38;ODS;16.06.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159475190767700 ;Sloupcový;Y;N;N;N;N;Y;Y;N;N;N;N;N
39;ODS;14.06.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159473384702700 ;Sloupcový;N;N;N;N;N;Y;N;N;Y;N;N;N
40;ODS;08.06.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159458131007700 ;Sloupcový;Y;N;N;N;N;Y;Y;N;N;N;N;N
41;ODS;07.06.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159455842497700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
42;ODS;04.06.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159448481727700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
43;ODS;09.05.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159388179617700 ;Sloupcový;Y;N;N;N;N;Y;Y;Y;N;N;N;N
44;ODS;01.02.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159145471637700 ;Liniový;Y;N;N;N;N;Y;Y;Y;Y;N;N;N
45;ODS;11.01.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159082627117700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
46;ODS;21.11.2020;20.02.2023;https://www.facebook.com/ods.cz/photos/10158962125917700 ;Sloupcový;Y;N;N;N;N;Y;Y;N;N;N;N;Y
